species,authors,dates,pages,dois,access dates,status,order,family,common_name
Abeillia abeillei,BirdLife International,2022,e.T22687170A167041523,,7 February 2025,LC,Caprimulgiformes,Trochilidae,Emerald-chinned Hummingbird
Abroscopus albogularis,BirdLife International,2024,e.T22715451A264188832,10.2305/IUCN.UK.2024-2.RLTS.T22715451A264188832.en,7 February 2025,LC,Passeriformes,Scotocercidae,Rufous-faced Warbler
Abroscopus schisticeps,BirdLife International,2024,e.T22715454A263817053,10.2305/IUCN.UK.2024-2.RLTS.T22715454A263817053.en,7 February 2025,LC,Passeriformes,Scotocercidae,Black-faced Warbler
Abroscopus superciliaris,BirdLife International,2024,e.T22731005A264174465,10.2305/IUCN.UK.2024-2.RLTS.T22731005A264174465.en,7 February 2025,LC,Passeriformes,Scotocercidae,Yellow-bellied Warbler
Aburria aburri,BirdLife International,2023,e.T22678440A221519295,10.2305/IUCN.UK.2023-1.RLTS.T22678440A221519295.en,7 February 2025,LC,Galliformes,Cracidae,Wattled Guan
Acanthagenys rufogularis,BirdLife International,2024,e.T22704451A253974643,10.2305/IUCN.UK.2024-2.RLTS.T22704451A253974643.en,7 February 2025,LC,Passeriformes,Meliphagidae,Spiny-cheeked Honeyeater
Acanthidops bairdi,BirdLife International,2021,e.T22723128A137106413,10.2305/IUCN.UK.2021-3.RLTS.T22723128A137106413.en,7 February 2025,LC,Passeriformes,Thraupidae,Peg-billed Finch
Acanthis flammea,BirdLife International,2019,e.T22725044A155292529,10.2305/IUCN.UK.2018-2.RLTS.T22725044A155292529.en,7 February 2025,LC,Passeriformes,Fringillidae,Redpoll
Acanthisitta chloris,BirdLife International,2024,e.T22698577A264097446,10.2305/IUCN.UK.2024-2.RLTS.T22698577A264097446.en,7 February 2025,LC,Passeriformes,Acanthisittidae,Rifleman
Acanthiza apicalis,BirdLife International,2024,e.T22731025A253980766,10.2305/IUCN.UK.2024-2.RLTS.T22731025A253980766.en,7 February 2025,LC,Passeriformes,Acanthizidae,Inland Thornbill
Acanthiza chrysorrhoa,BirdLife International,2024,e.T22704647A253984557,10.2305/IUCN.UK.2024-2.RLTS.T22704647A253984557.en,7 February 2025,LC,Passeriformes,Acanthizidae,Yellow-rumped Thornbill
Acanthiza cinerea,BirdLife International,2024,e.T22704665A264402426,10.2305/IUCN.UK.2024-2.RLTS.T22704665A264402426.en,7 February 2025,LC,Passeriformes,Acanthizidae,Grey Thornbill
Acanthiza ewingii,BirdLife International,2024,e.T22704635A253975889,10.2305/IUCN.UK.2024-2.RLTS.T22704635A253975889.en,7 February 2025,LC,Passeriformes,Acanthizidae,Tasmanian Thornbill
Acanthiza inornata,BirdLife International,2024,e.T22704641A253984369,10.2305/IUCN.UK.2024-2.RLTS.T22704641A253984369.en,7 February 2025,LC,Passeriformes,Acanthizidae,Western Thornbill
Acanthiza iredalei,BirdLife International,2024,e.T22704644A253984184,10.2305/IUCN.UK.2024-2.RLTS.T22704644A253984184.en,7 February 2025,LC,Passeriformes,Acanthizidae,Slender-billed Thornbill
Acanthiza katherina,BirdLife International,2022,e.T22704627A211281981,10.2305/IUCN.UK.2022-1.RLTS.T22704627A211281981.en,7 February 2025,VU,Passeriformes,Acanthizidae,Mountain Thornbill
Acanthiza lineata,BirdLife International,2024,e.T22704656A253983030,10.2305/IUCN.UK.2024-2.RLTS.T22704656A253983030.en,7 February 2025,LC,Passeriformes,Acanthizidae,Striated Thornbill
Acanthiza murina,BirdLife International,2024,e.T22704624A264401120,10.2305/IUCN.UK.2024-2.RLTS.T22704624A264401120.en,7 February 2025,LC,Passeriformes,Acanthizidae,New Guinea Thornbill
Acanthiza nana,BirdLife International,2024,e.T22704653A253983614,10.2305/IUCN.UK.2024-2.RLTS.T22704653A253983614.en,7 February 2025,LC,Passeriformes,Acanthizidae,Yellow Thornbill
Acanthiza pusilla,BirdLife International,2024,e.T22704630A253977169,10.2305/IUCN.UK.2024-2.RLTS.T22704630A253977169.en,7 February 2025,LC,Passeriformes,Acanthizidae,Brown Thornbill
Acanthiza reguloides,BirdLife International,2024,e.T22704638A253976641,10.2305/IUCN.UK.2024-2.RLTS.T22704638A253976641.en,7 February 2025,LC,Passeriformes,Acanthizidae,Buff-rumped Thornbill
Acanthiza robustirostris,BirdLife International,2024,e.T22704659A253980422,10.2305/IUCN.UK.2024-2.RLTS.T22704659A253980422.en,7 February 2025,LC,Passeriformes,Acanthizidae,Slaty-backed Thornbill
Acanthiza uropygialis,BirdLife International,2024,e.T22704650A253982383,10.2305/IUCN.UK.2024-2.RLTS.T22704650A253982383.en,7 February 2025,LC,Passeriformes,Acanthizidae,Chestnut-rumped Thornbill
Acanthoptila nipalensis,BirdLife International,2018,e.T22716338A131973007,10.2305/IUCN.UK.2018-2.RLTS.T22716338A131973007.en,7 February 2025,LC,Passeriformes,Leiotrichidae,Spiny Babbler
Acanthorhynchus superciliosus,BirdLife International,2024,e.T22704424A253971661,10.2305/IUCN.UK.2024-2.RLTS.T22704424A253971661.en,7 February 2025,LC,Passeriformes,Meliphagidae,Western Spinebill
Acanthorhynchus tenuirostris,BirdLife International,2024,e.T22704421A253971857,10.2305/IUCN.UK.2024-2.RLTS.T22704421A253971857.en,7 February 2025,LC,Passeriformes,Meliphagidae,Eastern Spinebill
Acanthornis magna,BirdLife International,2024,e.T22704585A253991389,10.2305/IUCN.UK.2024-2.RLTS.T22704585A253991389.en,7 February 2025,LC,Passeriformes,Acanthizidae,Scrubtit
Accipiter albogularis,BirdLife International,2022,e.T22695535A209008353,10.2305/IUCN.UK.2022-1.RLTS.T22695535A209008353.en,7 February 2025,LC,Accipitriformes,Accipitridae,Pied Goshawk
Accipiter badius,BirdLife International,2021,e.T22695490A197951702,,7 February 2025,LC,Accipitriformes,Accipitridae,Shikra
Accipiter bicolor,BirdLife International,2020,e.T22695669A168769390,10.2305/IUCN.UK.2020-3.RLTS.T22695669A168769390.en,7 February 2025,LC,Accipitriformes,Accipitridae,Bicolored Hawk
Accipiter brachyurus,BirdLife International,2021,e.T22695605A216248851,,7 February 2025,VU,Accipitriformes,Accipitridae,New Britain Sparrowhawk
Accipiter brevipes,BirdLife International,2021,e.T22695499A198250662,10.2305/IUCN.UK.2021-3.RLTS.T22695499A198250662.en,7 February 2025,LC,Accipitriformes,Accipitridae,Levant Sparrowhawk
Accipiter butleri,BirdLife International,2023,e.T22695494A230038665,10.2305/IUCN.UK.2023-1.RLTS.T22695494A230038665.en,7 February 2025,VU,Accipitriformes,Accipitridae,Nicobar Sparrowhawk
Accipiter castanilius,BirdLife International,2024,e.T22695486A264115363,10.2305/IUCN.UK.2024-2.RLTS.T22695486A264115363.en,7 February 2025,LC,Accipitriformes,Accipitridae,Chestnut-flanked Sparrowhawk
Accipiter cirrocephalus,BirdLife International,2022,e.T219590066A219590496,10.2305/IUCN.UK.2022-2.RLTS.T219590066A219590496.en,7 February 2025,LC,Accipitriformes,Accipitridae,Collared Sparrowhawk
Accipiter collaris,BirdLife International,2020,e.T22695568A170038077,10.2305/IUCN.UK.2020-3.RLTS.T22695568A170038077.en,7 February 2025,LC,Accipitriformes,Accipitridae,Semi-collared Hawk
